date,country,series,value
1995-06-30,IT,CONS,-7.1
1995-06-30,IT,RETA,-45.6
1995-06-30,IT,BUIL,-40.2
1995-06-30,IT,ESI,109.7
1995-06-30,LV,INDU,-18.5
1995-06-30,LV,BUIL,-38.4
1995-06-30,LV,ESI,73.8
1995-06-30,LT,INDU,-5
1995-06-30,LT,RETA,-9
1995-06-30,LT,BUIL,-50.7
1995-06-30,LT,ESI,98.9
1995-06-30,LU,INDU,12.7
1995-06-30,LU,BUIL,-45.8
1995-06-30,LU,ESI,115.8
1995-06-30,HU,CONS,-57.8
1995-06-30,NL,INDU,-1
1995-06-30,NL,CONS,-0.2
1995-06-30,NL,RETA,13.1
1995-06-30,NL,BUIL,-10.5
1995-06-30,NL,ESI,104.3
1995-06-30,NL,EEI,100.2
1995-06-30,AT,INDU,-5.1
1995-06-30,AT,ESI,96.7
1995-06-30,PL,RETA,1.7
1995-06-30,PL,ESI,145.6
1995-06-30,PT,INDU,-3.2
1995-06-30,PT,CONS,-16.5
1995-06-30,PT,RETA,3.6
1995-06-30,PT,BUIL,-31.7
1995-06-30,PT,ESI,102.5
1995-06-30,RO,INDU,15.4
1995-06-30,RO,RETA,28.1
1995-06-30,RO,BUIL,20.9
1995-06-30,RO,ESI,120.5
1995-06-30,SI,INDU,-10.2
1995-06-30,SI,ESI,79.7
1995-06-30,SK,INDU,-1.9
1995-06-30,SK,RETA,-12.7
1995-06-30,SK,BUIL,-15.9
1995-06-30,SK,ESI,90.2
1995-06-30,FI,INDU,11.5
1995-06-30,FI,BUIL,-35.7
1995-06-30,FI,ESI,100.6
1995-06-30,SE,BUIL,-42.3
1995-06-30,SE,ESI,100.1
1995-06-30,UK,INDU,2.5
1995-06-30,UK,CONS,-8.6
1995-06-30,UK,RETA,-6.1
1995-06-30,UK,BUIL,-32.6
1995-06-30,UK,ESI,103
1995-07-31,EU,INDU,-1.9
1995-07-31,EU,SERV,22.1
1995-07-31,EU,CONS,-8.2
1995-07-31,EU,RETA,-18.6
1995-07-31,EU,BUIL,-26.5
1995-07-31,EU,ESI,104.6
1995-07-31,EA,INDU,-2.8
1995-07-31,EA,SERV,23.6
1995-07-31,EA,CONS,-8.1
1995-07-31,EA,RETA,-20.1
1995-07-31,EA,BUIL,-29.1
1995-07-31,EA,ESI,104.9
1995-07-31,BE,INDU,-15.6
1995-07-31,BE,SERV,18.4
1995-07-31,BE,CONS,-7.6
1995-07-31,BE,RETA,-12.4
1995-07-31,BE,BUIL,-26.9
1995-07-31,BE,ESI,94.6
1995-07-31,BE,EEI,96.9
1995-07-31,BG,INDU,-8.1
1995-07-31,BG,RETA,26.1
1995-07-31,BG,BUIL,-22.8
1995-07-31,BG,ESI,90.2
1995-07-31,CZ,INDU,2.2
1995-07-31,CZ,CONS,-9.1
1995-07-31,CZ,RETA,6.5
1995-07-31,CZ,BUIL,-7.9
1995-07-31,CZ,ESI,89.4
1995-07-31,DK,INDU,-5.2
1995-07-31,DK,CONS,4.4
1995-07-31,DK,BUIL,3.3
1995-07-31,DK,ESI,102.5
1995-07-31,DE,INDU,-9.2
1995-07-31,DE,SERV,34.4
1995-07-31,DE,CONS,-7.3
1995-07-31,DE,RETA,-25.3
1995-07-31,DE,BUIL,-42
1995-07-31,DE,ESI,103.5
1995-07-31,EE,INDU,4.5
1995-07-31,EE,CONS,-8.3
1995-07-31,EE,RETA,9.3
1995-07-31,EE,BUIL,-7.4
1995-07-31,EE,ESI,96.4
1995-07-31,IE,INDU,23.6
1995-07-31,IE,CONS,2.5
1995-07-31,IE,BUIL,19.9
1995-07-31,IE,ESI,109.8
1995-07-31,EL,INDU,2.5
1995-07-31,EL,CONS,-31.9
1995-07-31,EL,RETA,-21.6
1995-07-31,EL,BUIL,-24.6
1995-07-31,EL,ESI,104.5
1995-07-31,ES,INDU,-7.1
1995-07-31,ES,CONS,-16.2
1995-07-31,ES,RETA,-9.8
1995-07-31,ES,BUIL,-7.1
1995-07-31,ES,ESI,97.4
1995-07-31,FR,INDU,-5.3
1995-07-31,FR,SERV,2.9
1995-07-31,FR,CONS,-5.2
1995-07-31,FR,RETA,-10.6
1995-07-31,FR,BUIL,-35.5
1995-07-31,FR,ESI,103
1995-07-31,FR,EEI,99.8
1995-07-31,IT,INDU,10.8
1995-07-31,IT,CONS,-6.6
1995-07-31,IT,RETA,-44.4
1995-07-31,IT,BUIL,-8.4
1995-07-31,IT,ESI,114.5
1995-07-31,LV,INDU,-20.7
1995-07-31,LV,BUIL,-55.7
1995-07-31,LV,ESI,76.6
1995-07-31,LT,INDU,-1.2
1995-07-31,LT,RETA,-9.2
1995-07-31,LT,BUIL,-55.5
1995-07-31,LT,ESI,102.9
1995-07-31,LU,INDU,12.7
1995-07-31,LU,BUIL,-50
1995-07-31,LU,ESI,114.4
1995-07-31,HU,CONS,-55.7
1995-07-31,NL,INDU,-0.5
1995-07-31,NL,CONS,-1.7
